sku,location,forecast_date,forecasted_demand,confidence_p10,confidence_p50,confidence_p90,confidence_score,model_version,generated_at
SKU-001,Store-LA,2026-03-28,74.68,55.89,74.68,93.47,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-29,81.64,62.86,81.64,100.43,0.84,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-30,51.24,32.45,51.24,70.03,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-03-31,64.65,45.86,64.65,83.44,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-LA,2026-04-01,62.45,43.67,62.45,81.24,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-03,56.67,30.35,56.67,82.98,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-04,57.05,30.74,57.05,83.37,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-05,56.36,30.05,56.36,82.68,0.78,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-06,57.44,31.12,57.44,83.75,0.78,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-07,71.35,45.03,71.35,97.66,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-08,71.8,45.48,71.8,98.11,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-09,57.9,31.59,57.9,84.22,0.94,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-10,59.45,33.14,59.45,85.77,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-11,56.41,30.1,56.41,82.73,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-12,57.81,31.49,57.81,84.12,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-13,60.15,33.84,60.15,86.47,0.85,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-14,74.17,47.86,74.17,100.49,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-15,76.74,50.42,76.74,103.05,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-16,57.8,31.49,57.8,84.12,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-17,55.93,29.61,55.93,82.24,0.75,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-18,55.35,29.03,55.35,81.66,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-19,60.45,34.14,60.45,86.76,0.95,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-20,55.4,29.09,55.4,81.72,0.87,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-21,70.58,44.26,70.58,96.89,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-22,73.63,47.32,73.63,99.95,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-23,58.82,32.5,58.82,85.13,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-24,57.56,31.24,57.56,83.87,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-25,60.53,34.22,60.53,86.85,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-26,54.34,28.02,54.34,80.65,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-27,59.59,33.28,59.59,85.91,0.92,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-28,82.75,56.44,82.75,109.07,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-29,76.6,50.28,76.6,102.91,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-30,54.51,28.2,54.51,80.83,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-03-31,63.92,37.61,63.92,90.23,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-CHI,2026-04-01,63.33,37.01,63.33,89.64,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-03,54.3,33.94,54.3,74.67,0.85,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-04,54.03,33.67,54.03,74.39,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-05,55.19,34.82,55.19,75.55,0.93,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-06,55.14,34.78,55.14,75.51,0.9,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-07,68.24,47.88,68.24,88.6,0.84,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-08,70.06,49.69,70.06,90.42,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-09,55.78,35.42,55.78,76.15,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-10,53.08,32.71,53.08,73.44,0.78,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-11,56.52,36.16,56.52,76.88,0.95,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-12,57.01,36.64,57.01,77.37,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-13,53.61,33.25,53.61,73.97,0.94,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-14,67.63,47.27,67.63,88.0,0.78,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-15,74.51,54.15,74.51,94.88,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-16,56.01,35.65,56.01,76.38,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-17,52.95,32.58,52.95,73.31,0.78,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-18,59.33,38.97,59.33,79.69,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-19,51.69,31.33,51.69,72.06,0.94,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-20,51.91,31.54,51.91,72.27,0.92,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-21,67.89,47.52,67.89,88.25,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-22,75.44,55.07,75.44,95.8,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-23,60.63,40.27,60.63,81.0,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-24,59.74,39.38,59.74,80.11,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-25,58.73,38.37,58.73,79.09,0.86,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-26,60.22,39.86,60.22,80.59,0.9,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-27,58.82,38.45,58.82,79.18,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-28,71.69,51.33,71.69,92.06,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-29,67.84,47.48,67.84,88.2,0.79,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-30,61.16,40.8,61.16,81.52,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-03-31,61.26,40.9,61.26,81.63,0.78,v1.0,2026-03-02 14:05:59
SKU-001,Store-HOU,2026-04-01,53.8,33.43,53.8,74.16,0.95,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-03,64.06,40.24,64.06,87.88,0.92,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-04,64.7,40.88,64.7,88.52,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-05,64.34,40.52,64.34,88.16,0.84,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-06,63.72,39.9,63.72,87.54,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-07,82.53,58.71,82.53,106.35,0.82,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-08,82.02,58.2,82.02,105.84,0.94,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-09,64.28,40.46,64.28,88.1,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-10,63.79,39.97,63.79,87.61,0.83,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-11,67.22,43.4,67.22,91.04,0.93,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-12,64.4,40.58,64.4,88.22,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-13,62.84,39.02,62.84,86.66,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-14,85.5,61.68,85.5,109.32,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-15,84.03,60.21,84.03,107.85,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-16,63.86,40.04,63.86,87.68,0.79,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-17,66.29,42.47,66.29,90.11,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-18,62.74,38.92,62.74,86.56,0.89,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-19,60.45,36.63,60.45,84.27,0.87,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-20,71.41,47.59,71.41,95.23,0.91,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-21,84.0,60.18,84.0,107.82,0.79,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-22,82.03,58.21,82.03,105.85,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-23,64.0,40.18,64.0,87.82,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-24,62.48,38.66,62.48,86.3,0.8,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-25,67.25,43.43,67.25,91.07,0.77,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-26,72.23,48.41,72.23,96.05,0.92,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-27,60.66,36.84,60.66,84.48,0.81,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-28,82.27,58.45,82.27,106.09,0.94,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-29,88.52,64.7,88.52,112.34,0.87,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-30,70.64,46.82,70.64,94.46,0.88,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-03-31,58.1,34.28,58.1,81.92,0.76,v1.0,2026-03-02 14:05:59
SKU-001,Store-PHX,2026-04-01,67.05,43.23,67.05,90.87,0.79,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-03,55.94,39.4,55.94,72.48,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-04,56.32,39.78,56.32,72.86,0.95,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-05,55.75,39.21,55.75,72.29,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-06,56.55,40.01,56.55,73.09,0.85,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-07,71.74,55.2,71.74,88.28,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-08,70.1,53.56,70.1,86.63,0.88,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-09,55.41,38.88,55.41,71.95,0.94,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-10,54.48,37.94,54.48,71.02,0.79,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-11,55.21,38.67,55.21,71.75,0.82,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-12,57.4,40.86,57.4,73.94,0.93,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-13,55.72,39.18,55.72,72.26,0.88,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-14,70.08,53.54,70.08,86.62,0.78,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-15,71.75,55.21,71.75,88.28,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-16,59.65,43.12,59.65,76.19,0.82,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-17,61.03,44.5,61.03,77.57,0.83,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-18,57.26,40.72,57.26,73.8,0.76,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-19,57.75,41.21,57.75,74.29,0.85,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-20,58.84,42.3,58.84,75.37,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-21,69.89,53.36,69.89,86.43,0.83,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-22,73.12,56.58,73.12,89.66,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-23,63.43,46.89,63.43,79.97,0.92,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-24,61.68,45.14,61.68,78.22,0.82,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-25,63.24,46.7,63.24,79.78,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-26,54.43,37.89,54.43,70.97,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-27,60.58,44.05,60.58,77.12,0.88,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-28,70.69,54.15,70.69,87.23,0.88,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-29,76.18,59.64,76.18,92.71,0.75,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-30,62.13,45.59,62.13,78.67,0.82,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-03-31,60.66,44.12,60.66,77.2,0.92,v1.0,2026-03-02 14:05:59
SKU-002,Store-NYC,2026-04-01,59.61,43.07,59.61,76.15,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-03,96.54,63.03,96.54,130.04,0.76,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-04,95.69,62.18,95.69,129.19,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-05,95.79,62.29,95.79,129.29,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-06,97.49,63.99,97.49,130.99,0.85,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-07,119.63,86.12,119.63,153.13,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-08,120.91,87.41,120.91,154.41,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-09,95.97,62.47,95.97,129.48,0.91,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-10,94.99,61.49,94.99,128.49,0.92,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-11,97.35,63.85,97.35,130.85,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-12,98.67,65.17,98.67,132.17,0.94,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-13,95.62,62.12,95.62,129.12,0.85,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-14,118.97,85.47,118.97,152.47,0.84,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-15,118.41,84.9,118.41,151.91,0.91,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-16,93.06,59.55,93.06,126.56,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-17,100.21,66.71,100.21,133.72,0.93,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-18,102.52,69.02,102.52,136.02,0.86,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-19,104.01,70.51,104.01,137.51,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-20,107.09,73.59,107.09,140.59,0.75,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-21,113.74,80.24,113.74,147.25,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-22,121.23,87.72,121.23,154.73,0.85,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-23,104.46,70.96,104.46,137.97,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-24,101.56,68.06,101.56,135.07,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-25,105.88,72.38,105.88,139.38,0.83,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-26,106.74,73.24,106.74,140.24,0.84,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-27,90.92,57.42,90.92,124.42,0.76,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-28,115.38,81.87,115.38,148.88,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-29,137.77,104.27,137.77,171.27,0.93,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-30,113.62,80.11,113.62,147.12,0.94,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-03-31,106.28,72.78,106.28,139.78,0.95,v1.0,2026-03-02 14:05:59
SKU-002,Store-LA,2026-04-01,87.75,54.25,87.75,121.25,0.83,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-03,98.82,55.92,98.82,141.72,0.78,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-04,98.22,55.33,98.22,141.12,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-05,100.01,57.11,100.01,142.9,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-06,99.5,56.61,99.5,142.4,0.75,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-07,123.16,80.26,123.16,166.05,0.94,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-08,122.14,79.25,122.14,165.04,0.93,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-09,102.42,59.53,102.42,145.32,0.91,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-10,96.13,53.23,96.13,139.02,0.76,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-11,95.91,53.01,95.91,138.8,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-12,98.65,55.75,98.65,141.55,0.79,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-13,103.32,60.43,103.32,146.22,0.78,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-14,127.92,85.02,127.92,170.82,0.76,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-15,122.87,79.97,122.87,165.77,0.93,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-16,96.01,53.11,96.01,138.9,0.91,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-17,104.06,61.16,104.06,146.95,0.75,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-18,103.91,61.01,103.91,146.8,0.94,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-19,94.42,51.52,94.42,137.32,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-20,98.69,55.8,98.69,141.59,0.79,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-21,120.3,77.4,120.3,163.2,0.88,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-22,116.49,73.6,116.49,159.39,0.82,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-23,108.96,66.06,108.96,151.85,0.79,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-24,99.78,56.88,99.78,142.67,0.85,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-25,98.97,56.07,98.97,141.86,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-26,108.35,65.46,108.35,151.25,0.79,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-27,97.01,54.11,97.01,139.9,0.9,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-28,114.43,71.54,114.43,157.33,0.77,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-29,140.44,97.54,140.44,183.34,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-30,111.76,68.87,111.76,154.66,0.8,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-03-31,104.78,61.89,104.78,147.68,0.91,v1.0,2026-03-02 14:05:59
SKU-002,Store-CHI,2026-04-01,89.89,46.99,89.89,132.78,0.9,v1.0,2026-03-02 14:05:59
